link,title,listingId,date,price,beds,size,baths,latitude,longitude,contentLen,postDate,updateDate,reposts,numPic
http://guelph.craigslist.ca/apa/5376922065.html,,5376922065,1/16/2016 20:08:00,1700,4,,1.5,43.630972,-80.031667,5,2015-12-27T19:44:51-0500,2016-01-16T20:03:25-0500,1,0
http://guelph.craigslist.ca/apa/5414179380.html,,5414179380,1/22/2016 9:14:00,990,2,900,1,43.575432,-80.263603,3,2016-01-22T09:14:19-0500,2016-01-22T09:14:19-0500,0,0
http://guelph.craigslist.ca/apa/5432351587.html,,5432351587,2/3/2016 17:16:00,460,4,,2,43.440082,-80.523906,16,2016-02-03T17:09:32-0500,2016-02-03T17:09:32-0500,0,4
http://guelph.craigslist.ca/apa/5422082285.html,,5422082285,1/27/2016 16:53:00,950,1,700,1,43.510988,-80.251317,3,2016-01-27T16:53:53-0500,2016-01-29T15:17:20-0500,1,0
http://guelph.craigslist.ca/apa/5427821646.html,"3 bd, 2.5 bath luxury home at a great price!",5427821646,2/28/2016 17:55:00,1425,3,1600,2.5,43.502561,-80.193881,21,2016-01-31T17:37:17-0500,2016-02-28T17:50:01-0500,1,4
http://guelph.craigslist.ca/apa/5434523173.html,,5434523173,2/5/2016 9:03:00,640,2,,1,43.983613,-80.734942,15,2016-02-05T09:03:15-0500,2016-02-05T09:03:15-0500,0,5
http://guelph.craigslist.ca/apa/5433023245.html,,5433023245,2/4/2016 8:45:00,460,4,,2,43.440043,-80.524641,17,2016-02-04T08:37:14-0500,2016-02-04T08:37:14-0500,0,4
http://guelph.craigslist.ca/apa/5433800289.html,,5433800289,2/4/2016 16:37:00,920,1,500,1,43.703933,-80.385032,11,2016-02-04T16:37:01-0500,2016-02-04T16:37:01-0500,0,5
http://guelph.craigslist.ca/apa/5436471678.html,,5436471678,2/6/2016 13:50:00,1200,2,,1,43.535561,-80.238905,10,2016-02-06T13:50:25-0500,2016-02-08T17:37:34-0500,1,9
http://guelph.craigslist.ca/apa/5445558110.html,,5445558110,2/12/2016 18:39:00,700,1,,1,43.537142,-80.242771,1,2016-02-12T18:39:18-0500,2016-02-12T18:39:18-0500,0,0
http://guelph.craigslist.ca/apa/5437572027.html,,5437572027,2/7/2016 11:49:00,1860,4,1500,2,43.54214,-80.260534,7,2016-02-07T11:49:14-0500,2016-02-07T11:49:14-0500,0,8
http://guelph.craigslist.ca/apa/5448969833.html,,5448969833,2/15/2016 12:40:00,1800,3,,3.5,43.588827,-80.275423,22,2016-02-15T12:40:29-0500,2016-02-15T12:40:29-0500,0,10
http://guelph.craigslist.ca/apa/5450604206.html,,5450604206,2/16/2016 13:09:00,1620,3,1600,1.5,43.450022,-80.426814,23,2016-02-16T13:09:19-0500,2016-02-16T13:09:19-0500,0,7
http://guelph.craigslist.ca/apa/5441567172.html,,5441567172,2/18/2016 7:36:00,750,3,,2.5,43.501894,-80.193866,26,2016-02-10T06:29:28-0500,2016-02-18T07:31:58-0500,1,0
http://guelph.craigslist.ca/apa/5460245436.html,,5460245436,2/22/2016 20:22:00,650,1,889,1,43.523877,-80.247017,5,2016-02-22T20:10:18-0500,2016-02-22T20:10:18-0500,0,0
http://guelph.craigslist.ca/apa/5455228450.html,,5455228450,2/19/2016 13:10:00,1045,1,,1,43.538331,-80.248146,22,2016-02-19T13:10:36-0500,2016-02-19T13:10:36-0500,0,11
http://guelph.craigslist.ca/apa/5460335967.html,,5460335967,2/22/2016 21:39:00,2500,5,2000,4,44.40975,-79.656222,2,2016-02-22T21:25:54-0500,2016-02-22T21:25:54-0500,0,0
http://guelph.craigslist.ca/apa/5465438569.html,Rarely Available 3 Bdrm Twnhse on Cole Rd,5465438569,2/26/2016 10:26:00,1425,3,,1.5,43.537676,-80.210037,24,2016-02-26T10:15:19-0500,2016-02-26T10:15:19-0500,0,9
http://guelph.craigslist.ca/apa/5465421002.html,CENTRALLY LOCATED 3 BDRM TOWNHOUSES,5465421002,2/26/2016 10:10:00,1425,3,,1.5,43.537676,-80.210037,29,2016-02-26T10:03:42-0500,2016-02-26T10:03:42-0500,0,10